original,neutral
"#theawakening
#WakeUp
#Chyna
#NWO
#ChinaVirus 
""You can stick it up your arse""  all of it! https://t.co/rbkY87wCDG","#t theawakening
 #W WakeUp
 #C Chyna
 #N NWO
 #C ChinaVirus  ""Y You  can  stick  it  up  your  *** ""  all  of  it! !  https: :/ //t.co/rbkY87wCDG"
@RepMariaSalazar @SBAgov @HSBCgop @HouseSmallBiz Bitch Please! 🍊🤡🤣🤪😂💩 #RepublicansAreTheProblem #RepublicansDontCare #GQP,@R RepMariaSalazar  @S SBAgov  @H HSBCgop  @H HouseSmallBiz  Bitch  Please! !  🍊🤡🤣🤪😂💩  #R RepublicansAreTheProblem  #R RepublicansDontCare  #G GQP
@BarbMcQuade @lividddh And calling Covid the “China virus” or “Wuhan Flu” doesn’t help things. Neither does the BASELESS claims of Biden being in bed with China. FFS. There are crazy ass ppl who believe this shit. They need to watch the rhetoric. No wonder ppl are being censored 24/7. It’s deserved.,@B BarbMcQuade  @l lividddh  And  calling  Covid  the  “C China  virus” ”  or  “W Wuhan  Flu” ”  doesn’ ’t t  help  things.  Neither  does  the  BASELESS  claims  of  Biden  being  in  bed  with  China.  FFS.  There  are  crazy  *** ppl  who  believe  this  *** They  need  to  watch  the  rhetoric.  No  wonder  ppl  are  being  censored  24/7.  It’ ’s s  deserved. .
"Now there's an n9 variant, what did you fuckers do in Wuhan? This thing is manmade.","Now  there' 's  an  n9  variant, ,  what  did  you  *** do  in  Wuhan? ?  This  thing  is  manmade. ."
retard isn’t offensive chink isn’t offensive idgaf abt slurs they’re literally just fucking words,*** isn’ ’t t  offensive  chink  isn’ ’t t  offensive  idgaf  abt  slurs  they’ ’r re  literally  just  *** words
"My daddy let me down but I promise you I won’t let up, I wanna say fuck that man but the shit won’t make me better ..","My  daddy  let  me  down  but  I  promise  you  I  won’ ’t t  let  up, ,  I  wann na  say  *** that  man  but  the  *** won’ ’t t  make  me  better  .."
@HollyHoodKB You be tweakin off air you just a gook 😂,@H HollyHoodKB  You  be  tweakin  off  air  you  just  a  *** 😂
"It matters whether you continue to listen to Trump.  
We had $1200 Wuhan flu checks by April 29 last year. 
@JoeBiden you are a senile inept bold faced liar. https://t.co/1dKEwQrjpJ",It  matters  whether  you  continue  to  listen  to  Trump.  We  had  $1 1200  Wuhan  flu  checks  by  April  29  last  year.  @J JoeBiden  you  are  a  *** *** *** *** *** https: :/ //t.co/1dKEwQrjpJ
"@thehill Meanwhile that fat f*CK greeter at Mara Lago is doing press releases with the term ""china-virus"" in them. Can we lock him up yet or what?","@t thehill  Meanwhile  that  fat  *** greeter  at  Mara  Lago  is  doing  press  releases  with  the  term  ""c china-virus"" ""  in  them.  Can  we  lock  him  up  yet  or  what? ?"
"This how White Castle, Imos, and the Chinaman ppl about to be with everyone ordering shit for #314Day #stl #stltwitter https://t.co/Qlg4tcGWNa","This  how  White  Castle, ,  Imos, ,  and  the  Chinaman  ppl  about  to  be  with  everyone  ordering  *** for  #3 314Day  #s stl  #s stltwitter  https: :/ //t.co/Qlg4tcGWNa"
Fuck you Wuhan. Fuck you very much.,*** *** Wuhan.  *** *** very  much. .
@kirstiealley I’d rather lick doorknobs in Wuhan than watch that crap!,@k kirstiealley  I’ ’d d  rather  lick  doorknobs  in  Wuhan  than  watch  that  *** !
@rmkarki @tterIndia @ArvindKejriwal Fuck off. Coolie,@r rmkarki  @t tterIndia  @A ArvindKejriwal  *** off.  Coolie
"i didn't just saw a homophobic ching chong saying ""i believe gay people will destroy others' family"" bruh","i didn't just saw a homophobic ching chong saying ""i believe gay people will destroy others' family"" bruh"
"Hey look, everybody! Chinaman Chen has thoughts on free elections. Fuck off and make me an iPhone, Chen! https://t.co/cxjFqftibZ https://t.co/Iklq1plpHb","Hey  look, ,  everybody! !  Chinaman  Chen  has  thoughts  on  free  elections.  *** off  and  make  me  an  iPhone, ,  Chen! !  https: :/ //t.co/cxjFqftibZ  https: :/ //t.co/Iklq1plpHb"
@QUEEN___chink It's funny cuz a couple months ago when King Bach did it bitches was sayin they'd leave they nigga 😂😂😂,@Q QUEEN___chink  It' 's  funny  cuz  a  couple  months  ago  when  King  Bach  did  it  *** was  sayin  they' 'd  leave  they  nigga  😂😂😂
Drinks got me on my ass and I lost my phone 🤦🏾‍♂️ I’m on gook time,Drinks  got  me  on  my  *** and  I  lost  my  phone  🤦🏾‍♂️  I’ ’m m  on  gook  time
@_1serenity A gook,@_ _1serenity  A  ***
"@sandyaudiffred @ABC7NY Seriously? He created operation war speed once he realized he fucked up &amp; this ""China"" virus was real.  He had said this would be gone in a few weeks &amp; It was just like the flu. You need to get YOUR facts straight!","@s sandyaudiffred  @A ABC7NY  Seriously? ?  He  created  operation  war  speed  once  he  realized  he  *** up  &a amp; ;  this  ""C China"" ""  virus  was  real.  He  had  said  this  would  be  gone  in  a  few  weeks  &a amp; ;  It  was  just  like  the  flu.  You  need  to  get  YOUR  facts  straight! !"
@QUEEN___chink 😂 he might be new to this but damn sho aint true to this...false claiming ass dude,@Q QUEEN___chink  😂  he  might  be  new  to  this  but  *** sho  aint  true  to  this. ...f false  claiming  *** dude
Why women mad at the niggas for not wanting meat dropped off in they mouth? Lmfao,Why  women  mad  at  the  *** for  not  wanting  meat  dropped  off  in  they  mouth? ?  Lmfao
"FAKE NEWS WON'T TELL YOU ABOUT ""FAUCI:DR RALPH BERIK, DR ZHEGIL SHI (AT NORTH CAROLINA) DOING ""GAIN OF FUNCTION"" RESEARCH.  THEY WON'T TELL YOU IT WAS OUTLAWED IN THIS COUNTRY.  THEY WON'T TELL YOU ABOUT ""FAUCI:DR ZHEGLI SHI AND THE WUHAN LAB.  WHERE FAUCI ARRANGED TO HAVE","FAKE NEWS WON'T TELL YOU ABOUT ""FAUCI:DR RALPH BERIK, DR ZHEGIL SHI (AT NORTH CAROLINA) DOING ""GAIN OF FUNCTION"" RESEARCH.  THEY WON'T TELL YOU IT WAS OUTLAWED IN THIS COUNTRY.  THEY WON'T TELL YOU ABOUT ""FAUCI:DR ZHEGLI SHI AND THE WUHAN LAB.  WHERE FAUCI ARRANGED TO HAVE"
@Veno_Sosa Lmfaoooo say that nigga really ain’t gang huh,*** *** Lmfaoooo  say  that  *** really  ain’ ’t t  *** huh
My  chink  ass  is  sleepy  😹,My  chink  *** is  sleepy  😹
He is such an idiot.  He is the one probably who helped in creating this china virus.  He should be fired.,He  is  such  an  *** He  is  the  one  probably  who  helped  in  creating  this  china  virus.  He  should  be  fired. .
@QUEEN___chink I too gets no bitches 😂,@Q QUEEN___chink  I  too  gets  no  *** 😂
"Upset? Lmao not at all, like I said take the joke or keep it pushing twit 😂😂or you probably just don’t get no bitches huh https://t.co/96fXjm2yJ6 https://t.co/HbCi6D9Ylq","Upset? ?  Lmao  not  at  all, ,  like  I  said  take  the  joke  or  keep  it  pushing  twit  😂😂or  you  probably  just  don’ ’t t  get  no  *** huh  https: :/ //t.co/96fXjm2yJ6  https: :/ //t.co/HbCi6D9Ylq"
Idiots in office are afraid to investigate why Fauci funded Wuhan P4 bio lab after Obama shut it down here. #ClassActionFauci https://t.co/u65HKjpqZC,*** in  office  are  afraid  to  investigate  why  Fauci  funded  Wuhan  P4  bio  lab  after  Obama  shut  it  down  here.  #C ClassActionFauci  https: :/ //t.co/u65HKjpqZC
Issa joke Nigga either laugh or get the hell on https://t.co/k1YDXKHOUE,Issa  joke  Nigga  either  laugh  or  get  the  *** on  https: :/ //t.co/k1YDXKHOUE
Pathetic.  #chinavirus https://t.co/DRJzPJ3WOG,*** #c chinavirus  https: :/ //t.co/DRJzPJ3WOG
Fr ... because after falling out about dumb shit and I try and talk it out...but it’s still not working I’m done being the bigger person you just a random now https://t.co/GTg2LQEusI,Fr  ...  because  after  falling  out  about  *** *** and  I  try  and  talk  it  out. ...b but  it’ ’s s  still  not  working  I’ ’m m  done  being  the  bigger  person  you  just  a  random  now  https: :/ //t.co/GTg2LQEusI
@thehill And Frump is still calling it the “China Virus.” Sorry a$$ bastard.😡,@t thehill  And  Frump  is  still  calling  it  the  “C China  Virus.” ”  Sorry  *** *** *** ***
lmo’s finna boom today bc all the good chinamen closed &amp; niggas only eat Imo’s or chinamen on 314 Day 🤣.,lmo’ ’s s  finna  boom  today  bc  all  the  good  chinamen  closed  &a amp; ;  *** only  eat  Imo’ ’s s  or  chinamen  on  314  Day  🤣. .
"@ProjectLincoln And if Biden was President January, 2020 we would still be having Non-Stop flights from Wuhan telling everybody, they're xenophobic! Joe Biden is the epitome of incompetence. Lincoln Project morons, voting for him because you hate Trump is the epitome of ignorance.","@P ProjectLincoln  And  if  Biden  was  President  January, ,  2020  we  would  still  be  having  Non-Stop  flights  from  Wuhan  telling  everybody, ,  they' 're  *** !  Joe  Biden  is  the  epitome  of  incompetence.  Lincoln  Project  *** ,  voting  for  him  because  you  hate  Trump  is  the  epitome  of  *** ."
"@VancaMaraj @thedigitaldash_ Ling Ling, Chinaman, Jackie Chan, Spic, Wetback, Messican, A-rabs, Ahks, African booty scratcher, etc. 

Stop that shit","@V VancaMaraj  @t thedigitaldash_  Ling  Ling, ,  Chinaman, ,  Jackie  Chan, ,  Spic, ,  Wetback, ,  Messican, ,  A-rabs, ,  Ahks, ,  African  booty  scratcher, ,  etc.  Stop  that  ***"
@BarbMcQuade If someone didn't label covid the China virus these morons wouldn't behave like this!,@B BarbMcQuade  If  someone  didn n't  label  covid  the  China  virus  these  *** wouldn n't  behave  like  this! !
I will fucking riot if I see something like this. Fuck everyone who called it the “Chinese virus”. Fuck alllllll the way off. https://t.co/d6xCNiTlAs,I  will  *** riot  if  I  see  something  like  this.  *** everyone  who  called  it  the  “C Chinese  virus” ”. .  *** alllllll  the  way  off.  https: :/ //t.co/d6xCNiTlAs
Aye it wasn’t a shoot out at the club. Them gook ass out of town niggas had a fight and shot in the air as the drove off smh. Police was right on they ass tho,Aye  it  wasn’ ’t t  a  shoot  out  at  the  club.  Them  gook  *** out  of  town  niggas  had  a  fight  and  shot  in  the  air  as  the  drove  off  smh.  Police  was  right  on  they  *** tho
its achi calling me a pussy eating chink as an insult https://t.co/njkR5GfLsk,its  achi  calling  me  a  *** *** *** as  an  insult  https: :/ //t.co/njkR5GfLsk
@NBCNews @MeetThePress It's about year stop this shit Free America Now We Need Freedom I can't sit in my house with fear of death from Chinese virus I'm fit and young..,@N NBCNews  @M MeetThePress  It' 's  about  year  stop  this  *** Free  America  Now  We  Need  Freedom  I  can n't  sit  in  my  house  with  fear  of  death  from  Chinese  virus  I' 'm  fit  and  young..
"Not one farmer in Maine will be helped from kung flu relief
We have no black farmers in Maine
Senators Sudan Collins and Anus King  are just fine with that.
Worthless fools","Not  one  farmer  in  Maine  will  be  helped  from  kung  flu  relief
 We  have  no  black  farmers  in  Maine
 Senators  Sudan  Collins  and  Anus  King  are  just  fine  with  that.
 Worthless  ***"
"@SlackDynamite Free @MaxBiggavelli 

After Max got locked French turned to Chinx once Chinx got killed French turned to Khloe... 

French Montana a Leech! No wonder nigguz shot him in the head.",@S SlackDynamite  Free  @M MaxBiggavelli  After  Max  got  locked  French  turned  to  Chinx  once  Chinx  got  killed  French  turned  to  Khloe. ...  French  Montana  a  Leech! !  No  wonder  *** *** him  in  the  head. .
allergies kickin my ass fr damn,allergies  *** my  *** fr  bless
@uzairkratos @Vnathanshul4 Bitch just stop bein' racists they are korean respect em I'm done dealing with the Indians I'm from northeast and have my own language I know  moderate amount of hindi I speak my own language so does I become ching Chong wanna see my adhar it's written indian but your just RACIST,@u uzairkratos  @V Vnathanshul4  *** just  stop  bein' '  *** they  are  korean  respect  em  I' 'm  done  dealing  with  the  Indians  I' 'm  from  northeast  and  have  my  own  language  I  know  moderate  amount  of  hindi  I  speak  my  own  language  so  does  I  become  ching  Chong  wann na  see  my  adhar  it' 's  written  indian  but  your  just  ***
Well shit. How am I supposed to ask him questions about how he helped and is still helping cover up the Wuhan origins of the coronavirus? https://t.co/ImJHx3X7fp,Well  *** How  am  I  supposed  to  ask  him  questions  about  how  he  helped  and  is  still  helping  cover  up  the  Wuhan  origins  of  the  coronavirus? ?  https: :/ //t.co/ImJHx3X7fp
@DrLiMengYAN1 We have the answers - we have known for a year that the CCP Bioweapons lab in Wuhan made the virus and sent it all over the world to kill people and ruin the world economy. WHAT ELSE DO YOU IDIOTS KEED TO KNOW???,@D DrLiMengYAN1  We  have  the  answers  -  we  have  known  for  a  year  that  the  CCP  Bioweapons  lab  in  Wuhan  made  the  virus  and  sent  it  all  over  the  world  to  kill  people  and  ruin  the  world  economy.  WHAT  ELSE  DO  YOU  *** *** TO  KNOW? ?? ?? ?
"I literally have a customer in here trying to tell me that Covid-19 is a man made chinese virus designed to destroy america with mask wearing, and that chinese people didn't start wearing masks until the Sars outbreak in 2012. People are stupid. 😑
https://t.co/2L07wMPbaF","I  literally  have  a  customer  in  here  trying  to  tell  me  that  Covid-19  is  a  man  made  chinese  virus  designed  to  destroy  america  with  mask  wearing, ,  and  that  chinese  people  didn n't  start  wearing  masks  until  the  Sars  outbreak  in  2012.  People  are  *** 😑
 https: :/ //t.co/2L07wMPbaF"
"A patient at work called my coworkers who are Filipino (chink chink), African American (slave), lesbian (confused on sexuality), and myself Hispanic (border jumper). But here we are with smiles so that numbers can look good when he gets discharged. #fuckmetricmeasurements","A  patient  at  work  called  my  coworkers  who  are  Filipino  (c chink  chink) ), ,  African  American  (s slave) ), ,  lesbian  (c confused  on  sexuality) ), ,  and  myself  Hispanic  (b border  jumper) ). .  But  here  we  are  with  smiles  so  that  numbers  can  look  good  when  he  gets  discharged.  *** ***"
@axiologitis Fucking Chinese virus..😜😜😜,@a axiologitis  *** Chinese  virus..😜😜😜
The death count from all causes in 2020 is similar to other non Chinese Virus years. We are being lied to and played for idiots,The  death  count  from  all  causes  in  2020  is  similar  to  other  non  Chinese  Virus  years.  We  are  being  lied  to  and  played  for  ***
"@njdotcom Some parents. Just like some parents voted for Trump, call it a ""Chinese virus"", hate anyone different from them, and think rich people aren't the biggest problem we have.

You know, morons.","@n njdotcom  Some  parents.  Just  like  some  parents  voted  for  Trump, ,  call  it  a  ""C Chinese  virus"" "", ,  hate  anyone  different  from  them, ,  and  think  rich  people  aren n't  the  biggest  problem  we  have.
 You  know, ,  *** ."
"Hey, as long as everyone is suing or arresting 45. Can the ACLU please send him a cease and desist on the China virus shit? His dedicated tribe of racists have stopped attaching the capital, but ""proudly"" continue their attacks on our seniors of Asian dissent?","Hey, ,  as  long  as  everyone  is  suing  or  arresting  45.  Can  the  ACLU  please  send  him  a  cease  and  desist  on  the  China  virus  *** ?  His  dedicated  tribe  of  racists  have  stopped  attaching  the  capital, ,  but  ""p proudly"" ""  continue  their  attacks  on  our  seniors  of  Asian  dissent? ?"
"In a democracy, one wins elections by luring most number of voters through false hopes and empty promises.

So basically, President is just the biggest fuckboy.","In  a  democracy, ,  one  wins  elections  by  luring  most  number  of  voters  through  false  hopes  and  empty  promises.
 So  basically, ,  President  is  just  the  biggest  *** ."
"@_1tgw I hate liars in general, but to lie about some stupid unnecessary shit is the icing on the cake.","@_ _1tgw  I  hate  liars  in  general, ,  but  to  lie  about  some  *** unnecessary  *** is  the  icing  on  the  cake. ."
"Republican party is all about paying for your own shit.

Democratic party is all about having other people pay for your shit.

No wonder women lean more left than men.",Republican  party  is  all  about  paying  for  your  own  *** Democratic  party  is  all  about  having  other  people  pay  for  your  *** No  wonder  women  lean  more  left  than  men. .
"@MrREEdFR @Luddite_not_gay that thing doesn't count, dude is a chink they are genetically modified to be twinks","@M MrREEdFR  @L *** that  thing  doesn n't  count, ,  dude  is  a  chink  they  are  genetically  modified  to  be  ***"
@JuliaHB1 What a load of old gobbledy gook,@J JuliaHB1  What  a  load  of  old  *** ***
"@meaadamacc @JazmineChanell_ Mine do, I don’t date ugly bitches (inside, or outside).","@m meaadamacc  @J JazmineChanell_  Mine  do, ,  I  don’ ’t t  date  *** *** (i inside, ,  or  outside) ). ."
@_1tgw Cut that shit out.,@_ _1tgw  Cut  that  *** out. .
"@DavidDa25346593 @JackPosobiec Don't be so hard on China man... America needs to do some fucking soul searching because right now the divisive rhetoric coming from the supposed ""Land of the Free"" is destroying the Western World.","@DavidDa25346593 @JackPosobiec Don't be so hard on China man... America needs to do some fucking soul searching because right now the divisive rhetoric coming from the supposed ""Land of the Free"" is destroying the Western World."
"@BinoyBas You have no idea here right? The adjournment is sought by ED. 
Don’t peddle fake news. You itcell coolie. 
UCC ain’t gonna happen. The US is already squeezing modi’s balls real hard.",@B BinoyBas  You  have  no  idea  here  right? ?  The  adjournment  is  sought  by  ED.  Don’ ’t t  peddle  fake  news.  You  itcell  coolie.  UCC  ain’ ’t t  gonn na  happen.  The  US  is  already  squeezing  modi’ ’s s  balls  real  hard. .
"@zhang_heqing Sorry but we dont take your shit, proper western vaccines are what we want, after all you gave the world the China virus..","@z zhang_heqing  Sorry  but  we  dont  take  your  *** ,  proper  western  vaccines  are  what  we  want, ,  after  all  you  gave  the  world  the  China  virus.."
"""often referred to as China virus"" bitch no one but you refers to it as that. What kind of tone-deaf idiot do you have to be to release this in an ""official"" statement especially with anti-asian racism going stronger than ever in this hell of a country of yours?","""o often  referred  to  as  China  virus"" ""  bitch  no  one  but  you  refers  to  it  as  that.  What  kind  of  tone-deaf  *** do  you  have  to  be  to  release  this  in  an  ""o official"" ""  statement  especially  with  anti-asian  racism  going  stronger  than  ever  in  this  hell  of  a  country  of  yours? ?"
@beefmaruchan shit just called me a chink😭😭,@b beefmaruchan  *** just  called  me  a  chink😭😭
@mrctv @RepTroyNehls Wtf who would open boarders in the middle of a pandemic.  Whatever reason.i have been wearing a mask for a year. 500 thousand deaths from China virus . I pay taxes. This is bullshit.,@m mrctv  @R RepTroyNehls  Wtf  who  would  open  boarders  in  the  middle  of  a  pandemic.  Whatever  reason.i  have  been  wearing  a  mask  for  a  year.  500  thousand  deaths  from  China  virus  .  I  pay  taxes.  This  is  *** .
Bitch wait... pop smoke in a movie,*** wait. ...  pop  smoke  in  a  movie
"// r slur 

draco is not real you fucking chink stop defending him like your life depends on it it’s so retarded — what the FUCK IS WRONG WITH YOU??? https://t.co/FKR8vr37CR",//  r  slur  draco  is  not  real  you  *** chink  stop  defending  him  like  your  life  depends  on  it  it’ ’s s  so  retarded  —  what  the  *** IS  WRONG  WITH  YOU? ?? ?? ?  https: :/ //t.co/FKR8vr37CR
@LivingOrganic_ Lmfao on niggas heads g,@L LivingOrganic_  Lmfao  on  *** *** g
"Antifa never wanted racial equality. Never wanted Justice. The hundreds of Proud Boys, Boogaloo, Conservatives, Church members, LEO's and social commentators who've been called И1gg3Я, coon, faggot, kike, gook, zipperhead and other slurs by Antifa Brownshirts is proof enough.","Antifa  never  wanted  racial  equality.  Never  wanted  Justice.  The  hundreds  of  Proud  Boys, ,  Boogaloo, ,  Conservatives, ,  Church  members, ,  LEO' 's  and  social  commentators  who' 've  been  called  И1gg3Я, ,  coon, ,  *** ,  kike, ,  gook, ,  zipperhead  and  other  slurs  by  Antifa  Brownshirts  is  proof  enough. ."
@Dami242 Shit got me up late as hell now,@D Dami242  *** got  me  up  late  as  hell  now
@QUEEN___chink You just had to be there lol 😭😭but me to sis lol I used to practice hell,@Q QUEEN___chink  You  just  had  to  be  there  lol  😭😭but  me  to  sis  lol  I  used  to  practice  Heaven
@ching_chong_cam Mf you must be on some weird drugs type shit,@c ching_chong_cam  Mf  you  must  be  on  some  weird  drugs  type  ***
@4EverTrilla Like what type of shit,@4 4EverTrilla  Like  what  type  of  ***
@TdashGlaze Nah I had shit I was gone do at 2 lmao,@T TdashGlaze  Nah  I  had  *** I  was  gone  do  at  2  lmao
@givechanhugs if he calls me a chink i will throw hands in my head and act like an absolute ass,@g givechanhugs  if  he  calls  me  a  chink  i  will  throw  hands  in  my  head  and  act  like  an  absolute  ***
Lmao I’m mad nie. Lemme take my dumb ass to bed. Pussy ass time 😂😒,Lmao  I’ ’m m  mad  nie.  Lemm me  take  my  *** *** to  bed.  Pussy  *** time  😂😒
@varun_girl Bro he’s doing whole Bollywood negativity and he deleted a video where he said coolie no 1 was first sushants and then became varun and how varun stole it I’m like what the fuck later he deleted the video he released during coolie no 1 release,@v varun_girl  Bro  he’ ’s s  doing  whole  Bollywood  negativity  and  he  deleted  a  video  where  he  said  coolie  no  1  was  first  sushants  and  then  became  varun  and  how  varun  stole  it  I’ ’m m  like  what  the  *** later  he  deleted  the  video  he  released  during  coolie  no  1  release
Bruh lmfao I’m pissed cause where the fuck is 2:00 at? Like I had shit I needed to do right quick,Bruh  lmfao  I’ ’m m  pissed  cause  where  the  *** is  2:00  at? ?  Like  I  had  *** I  needed  to  do  right  quick
@4EverTrilla Shit just pissed me off lmfao,@4 4EverTrilla  *** just  pissed  me  off  lmfao
"@dreamingnoctis These motherfuckers just type anything, that was absolute gobbledy gook of the highest order","@d dreamingnoctis  These  *** just  type  anything, ,  that  was  absolute  gobbledy  gook  of  the  highest  order"
@Dturn_ Like shit,@D Dturn_  Like  ***
@porbotialora Holy shit that coolie sturgeons Law is one irritating g*ndu,@p porbotialora  Holy  *** that  coolie  sturgeons  Law  is  one  irritating  ***
Bruh gah damn it just said fuck 2:00 huh. Ya’ll couldn’t do that shit at a later time like 5 or sum shit tf,Bruh  gah  damn  it  just  said  *** 2:00  huh.  Ya’ ’l ll  couldn’ ’t t  do  that  *** at  a  later  time  like  5  or  sum  *** tf
Donald Trump should be hold accountable for the Asian hate crimes. And the motherfucker who started this #ChinaVirus,Donald  Trump  should  be  hold  accountable  for  the  Asian  hate  crimes.  And  the  *** who  started  this  #C ChinaVirus
@iFuckdUrParents @xngqin Ryo don't listen to them they just called me a filthy gook and poured toilet water all over me,@i iFuckdUrParents  @x xngqin  Ryo  don n't  listen  to  them  they  just  called  me  a  *** *** and  poured  toilet  water  all  over  me
@ching_chong_cam Like a hour ago I think idk this shits hard for a dumbass,@c ching_chong_cam  Like  a  hour  ago  I  think  idk  this  *** hard  for  a  ***
"@itssm2014 @joe_hunglo You keep parroting the MSM, and have yet to show me any science.

See the pattern.

lol that's where the fucking virus originated. FROM CHY-NA.

Thus the name, Spanish Flu... Chinese Flu...etc

Kung Flu
Lung Pao Sicken 

are also hilarious.","@i itssm2014  @j joe_hunglo  You  keep  parroting  the  MSM, ,  and  have  yet  to  show  me  any  science.
 See  the  pattern.
 lol  that' 's  where  the  *** virus  originated.  FROM  CHY-NA.
 Thus  the  name, ,  Spanish  Flu. ...  Chinese  Flu. ...e etc
 Kung  Flu
 Lung  Pao  Sicken  are  also  hilarious. ."
M.phil krny aye thy coolie bn k rh gay han.Hostel saman ly ao Hostel saman ly jao😏,M.phil  krny  aye  thy  coolie  bn  k  rh  gay  han.Hostel  saman  ly  ao  Hostel  saman  ly  jao😏
"@TheQuartering The military being idiotic isn't inspiring me to want to fight  for it.

@TuckerCarlson is wrong for caring about it, F it. Why care. Let the not-superstrait and prego battalion go try and liberate the wuhan or wiggers and problem solved.","@T TheQuartering  The  military  being  *** isn n't  inspiring  me  to  want  to  fight  for  it.
 @T TuckerCarlson  is  wrong  for  caring  about  it, ,  F  it.  Why  care.  Let  the  not-superstrait  and  prego  battalion  go  try  and  liberate  the  wuhan  or  wiggers  and  problem  solved. ."
"@wellthom @mtgreenee You are ridiculous. Legal immigration hasn’t stopped. And allowing people who are coming in with the China virus will ruin the effort to stop it. She’s not whining, you are.","@w wellthom  @m mtgreenee  You  are  *** Legal  immigration  hasn’ ’t t  stopped.  And  allowing  people  who  are  coming  in  with  the  China  virus  will  ruin  the  effort  to  stop  it.  She’ ’s s  not  whining, ,  you  are. ."
I just be talking shit on here.,I  just  be  talking  *** on  here. .
@Dhill701 @SenWarren Bwahahahahaha! Facts? And you say China virus like a dick.🙄 https://t.co/XuIilGr0PW,@D Dhill701  @S SenWarren  Bwahahahahaha! !  Facts? ?  And  you  say  China  virus  like  a  *** https: :/ //t.co/XuIilGr0PW
how do i Counter this piece of shit Gook War Machine https://t.co/TlBuuDyBa1,how  do  i  Counter  this  piece  of  *** Gook  War  Machine  https: :/ //t.co/TlBuuDyBa1
@usojimaku_ch The hell does this mean all I see is ching Chong bing bong,@u usojimaku_ch  The  hell  does  this  mean  all  I  see  is  ching  Chong  bing  bong
Lmaooo yo ass stay saying sum gook shit and going viral 🤣🤣🤣😂 funniest nigga out there https://t.co/zTXlYu4Fpj,Lmaooo  yo  ass  stay  saying  sum  gook  *** and  going  viral  🤣🤣🤣😂  funniest  nigga  out  there  https: :/ //t.co/zTXlYu4Fpj
"@gmorg22 @catherine___c If not for the China Virus, McGowan would have been thrown out on his ass on his first 3 years disastrous record.","@g gmorg22  @c catherine___c  If  not  for  the  China  Virus, ,  McGowan  would  have  been  thrown  out  on  his  *** on  his  first  3  years  disastrous  record. ."
@billybo18237742 @BethLynch2020 China's seem to be more reliable seeing as Wuhan is having fucking parties lmao,@b billybo18237742  @B BethLynch2020  China' 's  seem  to  be  more  reliable  seeing  as  Wuhan  is  having  *** parties  lmao
@RoseCottageCre1 @GEugenics Is he fucking serious? “Read some yellow journalism. Those Chinamen will corrupt our women!”,@R RoseCottageCre1  @G GEugenics  Is  he  *** serious? ?  “R Read  some  yellow  journalism.  Those  Chinamen  will  corrupt  our  women! !” ”
I did not know all spice made shit hit like this. Im a fan🤩,I  did  not  know  all  spice  made  *** hit  like  this.  Im  a  fan🤩
"FRM MENTEE:1,200 calls/emails-41 NDA's-7 offers-Now:submitted 3 offers today totalling $18m revenue+ another 1 to write tomorrow-FUCK THE CHINESE VIRUS!-all from my master bathroom office(DSP:KIDS R GOING 2 THE WHIP-RUNNING 2WARDS GUN FIRE-THEY KNOW THIS IS WEALTH CREATION TIME)","FRM  MENTEE:1,200  calls/emails-41  NDA's-7  offers-Now: :s submitted  3  offers  today  totalling  $1 18m  revenue+  another  1  to  write  *** THE  CHINESE  VIRUS! !- -all  from  my  master  bathroom  office( (D DSP: :K KIDS  R  GOING  2  THE  WHIP-RUNNING  2WARDS  GUN  FIRE-THEY  KNOW  THIS  IS  WEALTH  CREATION  TIME) )"
What the hell this have to do with the China virus? What a joke. https://t.co/bLMFdV9ve8,What  the  *** this  have  to  do  with  the  China  virus? ?  What  a  joke.  https: :/ //t.co/bLMFdV9ve8
"Whatever, fuck Twitter and fuck the China virus. I’m not getting the vaccine Bill Gates can kiss my ass.","Whatever, ,  *** Twitter  and  *** the  China  virus.  I’ ’m m  not  getting  the  vaccine  Bill  Gates  can  kiss  my  *** ."
@Mr_PHROZEN 😂😂😂country shit,@M Mr_PHROZEN  😂😂😂country  ***
"@Nicole0617 @KatiePavlich Well duh, it originated in f@*¿king Wuhan.","@N Nicole0617  @K KatiePavlich  Well  duh, ,  it  originated  in  *** *** *** Wuhan. ."
China virus is a hoax. 0.0014% death rate. Kiss my ass and OPEN IT UP,China  virus  is  a  hoax.  0.0014% %  death  rate.  *** *** *** and  OPEN  IT  UP
@Eblingmis2 China unleashed the virus on America by allowing international travel from Wuhan when they knew the virus spread human to human. Only uninformed idiots are pushing this nonsense.,@E Eblingmis2  China  unleashed  the  virus  on  America  by  allowing  international  travel  from  Wuhan  when  they  knew  the  virus  spread  human  to  human.  Only  uninformed  *** are  pushing  this  nonsense. .
@AkbaruddinIndia Such a disgusting chinese virus..,@A AkbaruddinIndia  Such  a  *** chinese  ***
@taradara_ Sucka.,@t taradara_  *** .
@symphonists because u are a little gook nya nya,*** *** because  u  are  a  little  *** nya  nya
I’m not a friendly nigga so I don’t want/need a friendly bitch.,I’ ’m m  not  a  friendly  *** so  I  don’ ’t t  want/need  a  friendly  *** .
"Everyone else: jamming out to country, rap, etc 
My chink ass: jamming out to cruel angels thesis","Everyone  else: :  jamming  out  to  country, ,  rap, ,  etc  My  *** *** :  jamming  out  to  cruel  angels  thesis"
